,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率Tariff rate,単位Unit,単位Unit,他法令Law
57,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,,NO,KG,
58,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
59,6203.12,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
61,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
62,6203.19,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
64,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
65,,,アンサンブル,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6203.22,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
68,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
69,6203.23,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
71,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
72,6203.29,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
74,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
75,,,ジャケット及びブレザー,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6203.31,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,,NO,KG,
78,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
79,6203.32,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,,NO,KG,
81,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
82,6203.33,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,,NO,KG,
84,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
85,6203.39,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,,NO,KG,
87,,,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,,,,,,,,
88,,210.0,－ 再生繊維又は半合成繊維製のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
89,,290.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
90,,,ズボン、胸当てズボン、半ズボン及びショーツ,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6203.41,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
93,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
94,6203.42,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
96,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
97,6203.43,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
99,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
100,6203.49,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,,NO,KG,
102,,,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,,,,,,,,
103,,210.0,－ 再生繊維又は半合成繊維製のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,,NO,KG,
104,,290.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,6.6%,無税,,NO,KG,
105,62.04,,女子用のスーツ、アンサンブル、ジャケット、ブレザー、ドレス、スカート、キュロットスカート、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,スーツ,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6204.11,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
109,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
110,6204.12,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
112,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
113,6204.13,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
115,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
116,6204.19,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
118,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
119,,,アンサンブル,,,,,,,,,,,,,,,,,,,,,,,,,,
120,6204.21,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
122,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
123,6204.22,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
125,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
126,6204.23,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
128,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
129,6204.29,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
131,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
132,,,ジャケット及びブレザー,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6204.31,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
135,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
136,6204.32,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
138,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
139,6204.33,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.3%,無税,,NO,KG,
141,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
142,6204.39,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
144,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
145,,,ドレス,,,,,,,,,,,,,,,,,,,,,,,,,,
146,6204.41,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
148,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
149,6204.42,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
151,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
152,6204.43,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
154,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
155,6204.44,,再生繊維又は半合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
157,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
158,6204.49,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
160,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
161,,,スカート及びキュロットスカート,,,,,,,,,,,,,,,,,,,,,,,,,,
162,6204.51,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
164,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
165,6204.52,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
167,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
168,6204.53,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
170,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
171,6204.59,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
173,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
174,,,ズボン、胸当てズボン、半ズボン及びショーツ,,,,,,,,,,,,,,,,,,,,,,,,,,
175,6204.61,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
177,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
178,6204.62,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
180,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
181,6204.63,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.2%,無税,,NO,KG,
183,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
184,6204.69,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
186,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
187,62.05,,男子用のシャツ,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6205.2,0.0,綿製のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
189,6205.3,0.0,人造繊維製のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
190,6205.9,,その他の紡織用繊維製のもの,9%,,,,無税,,,,,,,,,,,,,,,,,,,,,
191,,10.0,－ 羊毛製又は繊獣毛製のもの,,,7.4%,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
192,,90.0,－ その他のもの,,,(9%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
193,62.06,,女子用のブラウス、シャツ及びシャツブラウス,,,,,,,,,,,,,,,,,,,,,,,,,,
194,6206.1,,絹（絹のくずを含む。）製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
196,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
198,,220.0,(2)その他のもの,9%,,(9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
199,6206.2,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
201,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
203,,220.0,(2)その他のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
204,6206.3,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
206,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
208,,220.0,(2)その他のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.3%,無税,,NO,KG,
209,6206.4,,人造繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
211,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
213,,220.0,(2)その他のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
214,6206.9,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
216,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
218,,220.0,(2)その他のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
219,62.07,,男子用のシングレットその他これに類する肌着、パンツ、ズボン下、ブリーフ、ナイトシャツ、パジャマ、バスローブ、ドレッシングガウンその他これらに類する製品,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,パンツ、ズボン下及びブリーフ,,,,,,,,,,,,,,,,,,,,,,,,,,
221,6207.11,0.0,綿製のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
222,6207.19,0.0,その他の紡織用繊維製のもの,9%,,(9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
223,,,ナイトシャツ及びパジャマ,,,,,,,,,,,,,,,,,,,,,,,,,,
224,6207.21,0.0,綿製のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
225,6207.22,0.0,人造繊維製のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
226,6207.29,0.0,その他の紡織用繊維製のもの,9%,,(9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
227,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
228,6207.91,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
230,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,210.0,(1)シングレットその他これに類する肌着,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
232,,220.0,(2)その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
233,6207.99,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
235,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,210.0,(1)シングレットその他これに類する肌着,9%,,人造繊維製のもの 7.4% その他のもの (9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,
237,,220.0,(2)その他のもの,11.2%,,人造繊維製のもの 9.1% その他のもの 10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,人造繊維製のもの　6.6% その他のもの　7.2%,無税,,NO,KG,
