,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA)
35,6202.13,,人造繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
36,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
37,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
38,6202.19,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
39,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
40,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
41,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
42,6202.91,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
43,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
44,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
45,6202.92,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
46,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
47,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
48,6202.93,,人造繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
49,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
50,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
51,6202.99,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
52,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
53,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
54,62.03,,男子用のスーツ、アンサンブル、ジャケット、ブレザー、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
55,,,スーツ,,,,,,,,,,,,,,,,,,,,,,
56,6203.11,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
57,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
58,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
59,6203.12,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
60,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
61,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
62,6203.19,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
63,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
64,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
65,,,アンサンブル,,,,,,,,,,,,,,,,,,,,,,
66,6203.22,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
67,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
68,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
69,6203.23,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
70,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
71,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
72,6203.29,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
73,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
74,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
75,,,ジャケット及びブレザー,,,,,,,,,,,,,,,,,,,,,,
76,6203.31,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
77,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
78,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
79,6203.32,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
80,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
81,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
82,6203.33,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
83,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
84,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
85,6203.39,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
86,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
87,,,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,,,,
88,,210.0,－ 再生繊維又は半合成繊維製のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
89,,290.0,－ その他のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
90,,,ズボン、胸当てズボン、半ズボン及びショーツ,,,,,,,,,,,,,,,,,,,,,,
91,6203.41,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
92,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
93,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
94,6203.42,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
95,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
96,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
97,6203.43,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
98,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
99,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
100,6203.49,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
101,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
102,,,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,,,,
103,,210.0,－ 再生繊維又は半合成繊維製のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
104,,290.0,－ その他のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
105,62.04,,女子用のスーツ、アンサンブル、ジャケット、ブレザー、ドレス、スカート、キュロットスカート、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
106,,,スーツ,,,,,,,,,,,,,,,,,,,,,,
107,6204.11,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
108,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
109,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
110,6204.12,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
111,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
112,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
113,6204.13,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
114,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
115,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
116,6204.19,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
117,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
118,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
119,,,アンサンブル,,,,,,,,,,,,,,,,,,,,,,
120,6204.21,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
121,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
122,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
123,6204.22,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
124,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
125,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
126,6204.23,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
127,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
128,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
129,6204.29,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
130,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
131,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
132,,,ジャケット及びブレザー,,,,,,,,,,,,,,,,,,,,,,
133,6204.31,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
134,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
135,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
136,6204.32,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
137,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
138,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
139,6204.33,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
140,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
141,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
142,6204.39,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
143,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,,,,,,,,,,,,,,NO,KG,,
144,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
145,,,ドレス,,,,,,,,,,,,,,,,,,,,,,
146,6204.41,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
147,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
148,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
149,6204.42,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
150,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
151,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
152,6204.43,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
153,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
154,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
155,6204.44,,再生繊維又は半合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
156,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
157,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
158,6204.49,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
159,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
160,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
161,,,スカート及びキュロットスカート,,,,,,,,,,,,,,,,,,,,,,
162,6204.51,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
163,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
164,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
165,6204.52,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
166,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
167,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
168,6204.53,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
169,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
170,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
171,6204.59,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
172,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
173,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
174,,,ズボン、胸当てズボン、半ズボン及びショーツ,,,,,,,,,,,,,,,,,,,,,,
175,6204.61,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
176,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
177,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
178,6204.62,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
179,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
180,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
181,6204.63,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
182,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
183,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
184,6204.69,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
185,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
186,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
187,62.05,,男子用のシャツ,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
188,6205.2,0.0,綿製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
189,6205.3,,人造繊維製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,,,,
190,,10.0,－ 合成繊維製のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
191,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
192,6205.9,,その他の紡織用繊維製のもの,9%,,,,無税,,,,,,,,,,,,,,,,,
193,,10.0,－ 羊毛製又は繊獣毛製のもの,,,7.4%,,,,,,,,,,,,,,,,NO,KG,,
194,,90.0,－ その他のもの,,,(9%),,,,,,,,,,,,,,,,NO,KG,,
195,62.06,,女子用のブラウス、シャツ及びシャツブラウス,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
196,6206.1,,絹（絹のくずを含む。）製のもの,,,,,,,,,,,,,,,,,,,,,,
197,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
198,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
199,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
200,,220.0,(2)その他のもの,9%,,(9%),,無税,,,,,,,,,,,,,,NO,KG,,
201,6206.2,,羊毛製又は繊獣毛製のもの,,,,,,,,,,,,,,,,,,,,,,
202,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
203,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
204,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
205,,220.0,(2)その他のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
206,6206.3,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
207,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
208,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
209,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
210,,220.0,(2)その他のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
211,6206.4,,人造繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
212,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
213,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
214,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
215,,220.0,(2)その他のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
216,6206.9,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
217,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
218,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
219,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
220,,220.0,(2)その他のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
221,62.07,,男子用のシングレットその他これに類する肌着、パンツ、ズボン下、ブリーフ、ナイトシャツ、パジャマ、バスローブ、ドレッシングガウンその他これらに類する製品,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
222,,,パンツ、ズボン下及びブリーフ,,,,,,,,,,,,,,,,,,,,,,
223,6207.11,0.0,綿製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
224,6207.19,0.0,その他の紡織用繊維製のもの,9%,,(9%),,無税,,,,,,,,,,,,,,NO,KG,,
225,,,ナイトシャツ及びパジャマ,,,,,,,,,,,,,,,,,,,,,,
226,6207.21,0.0,綿製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
227,6207.22,0.0,人造繊維製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
228,6207.29,0.0,その他の紡織用繊維製のもの,9%,,(9%),,無税,,,,,,,,,,,,,,NO,KG,,
229,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
230,6207.91,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
231,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
232,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
233,,210.0,(1)シングレットその他これに類する肌着,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
234,,220.0,(2)その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
235,6207.99,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
236,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
237,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
238,,210.0,(1)シングレットその他これに類する肌着,9%,,人造繊維製のもの 7.4% その他のもの (9%),,無税,,,,,,,,,,,,,,NO,KG,,
239,,220.0,(2)その他のもの,11.2%,,人造繊維製のもの 9.1% その他のもの 10%,,無税,,,,,,,,,,,,,,NO,KG,,
240,62.08,,女子用のシングレットその他これに類する肌着、スリップ、ペティコート、ブリーフ、パンティ、ナイトドレス、パジャマ、ネグリジェ、バスローブ、ドレッシングガウンその他これらに類する製品,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
241,,,スリップ及びペティコート,,,,,,,,,,,,,,,,,,,,,,
242,6208.11,0.0,人造繊維製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
243,6208.19,0.0,その他の紡織用繊維製のもの,9%,,(9%),,無税,,,,,,,,,,,,,,NO,KG,,
244,,,ナイトドレス及びパジャマ,,,,,,,,,,,,,,,,,,,,,,
245,6208.21,0.0,綿製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
246,6208.22,0.0,人造繊維製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
247,6208.29,0.0,その他の紡織用繊維製のもの,9%,,(9%),,無税,,,,,,,,,,,,,,NO,KG,,
248,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
249,6208.91,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
250,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
251,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
252,,210.0,(1)シングレットその他これに類する肌着、ブリーフ及びパンティ,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
253,,220.0,(2)その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
254,6208.92,,人造繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
255,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
256,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
257,,210.0,(1)シングレットその他これに類する肌着、ブリーフ及びパンティ,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
258,,220.0,(2)その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
259,6208.99,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
260,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
261,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
262,,210.0,(1)シングレットその他これに類する肌着、ブリーフ及びパンティ,9%,,(9%),,無税,,,,,,,,,,,,,,NO,KG,,
263,,220.0,(2)その他のもの,11.2%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
264,62.09,,乳児用の衣類及び衣類附属品,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
265,6209.2,,綿製のもの,,,,,,,,,,,,,,,,,,,,,,
266,,150.0,1 手袋、ミトン及びミット並びにパンティストッキング、タイツ、ストッキング、ソックスその他の靴下類,7.8%,,6.5%,5.2%,無税,,,,,,,,,,,,,,PR,KG,,
267,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
268,,210.0,(1)毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
269,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
270,,221.0,A 附属品,9%,,7.4%,5.92%,無税,,,,,,,,,,,,,,NO,KG,,
271,,222.0,B その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
272,6209.3,,合成繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
273,,150.0,1 手袋、ミトン及びミット並びにパンティストッキング、タイツ、ストッキング、ソックスその他の靴下類,7.8%,,6.5%,5.2%,無税,,,,,,,,,,,,,,PR,KG,,
274,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
275,,210.0,(1)毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
276,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
277,,221.0,A 附属品,9%,,7.4%,5.92%,無税,,,,,,,,,,,,,,NO,KG,,
278,,222.0,B その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
279,6209.9,,その他の紡織用繊維製のもの,,,,,,,,,,,,,,,,,,,,,,
280,,150.0,1 手袋、ミトン及びミット並びにパンティストッキング、タイツ、ストッキング、ソックスその他の靴下類,7.8%,,6.5%,5.2%,無税,,,,,,,,,,,,,,PR,KG,,
281,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
282,,210.0,(1)毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
283,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
284,,221.0,A 附属品,9%,,7.4%,5.92%,無税,,,,,,,,,,,,,,NO,KG,,
285,,,B その他のもの,,,,,,,,,,,,,,,,,,,,,,
286,,291.0,(a)羊毛製又は繊獣毛製のもの,9%,,7.4%,,無税,,,,,,,,,,,,,,NO,KG,,
287,,299.0,(b)その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
288,62.1,,衣類（第56.02項、第56.03項、第59.03項、第59.06項又は第59.07項の織物類から製品にしたものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
289,6210.1,,第56.02項又は第56.03項の織物類から成るもの,,,,,,,,,,,,,,,,,,,,,,
290,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
291,,,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,,,,
292,,210.0,－ 人造繊維製のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
293,,290.0,－ その他のもの,,,,,,,,,,,,,,,,,,,NO,KG,,
294,6210.2,,その他の衣類（第6201.11号から第6201.19号までのものと同一種類のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
295,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
296,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
297,6210.3,,その他の衣類（第6202.11号から第6202.19号までのものと同一種類のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
298,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
299,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
300,6210.4,,その他の男子用の衣類,,,,,,,,,,,,,,,,,,,,,,
301,,100.0,1 毛皮付きのもの,16%,,10%,,無税,,,,,,,,,,,,,,NO,KG,,
302,,200.0,2 その他のもの,11.2%,,9.1%,,無税,,,,,,,,,,,,,,NO,KG,,
303,6210.5,,その他の女子用の衣類,,,,,,,,,,,,,,,,,,,,,,
