,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
747,8477.1,0.0,射出成形機,無税,,(無税),,,,,,,,,,,,,,NO,KG
748,8477.2,0.0,押出成形機,無税,,(無税),,,,,,,,,,,,,,NO,KG
749,8477.3,0.0,吹込み成形機,無税,,(無税),,,,,,,,,,,,,,NO,KG
750,8477.4,0.0,真空成形機及びその他の熱成形機,無税,,(無税),,,,,,,,,,,,,,NO,KG
751,,,その他の機械（成形用機械に限る。）,,,,,,,,,,,,,,,,,,
752,8477.51,0.0,空気タイヤの更生用又は型を使用する成形用のもの及びインナーチューブの成形用のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
753,8477.59,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
754,8477.8,0.0,その他の機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
755,8477.9,,部分品,無税,,,,,,,,,,,,,,,,,
756,,10.0,－ 第8477.10号から第8477.59号までの機械のもの及び第8477.80号の捏和機のもの,,,(無税),,,,,,,,,,,,,,,KG
757,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,KG
758,84.78,,たばこの調製用又は製造用の機械（この類の他の項に該当するものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
759,8478.1,0.0,たばこの調製用又は製造用の機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
760,8478.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
761,84.79,,機械類（固有の機能を有するものに限るものとし、この類の他の項に該当するものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
762,8479.1,0.0,土木事業、建築その他これらに類する用途に供する機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
763,8479.2,0.0,動物性又は植物性の油脂の抽出用又は調製用の機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
764,8479.3,0.0,プレス（木材その他の木質材料製のパーティクルボード又は建築用繊維板の製造用のものに限る。）その他の木材又はコルクの処理用機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
765,8479.4,0.0,綱又はケーブルの製造機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
766,8479.5,0.0,産業用ロボット（他の号に該当するものを除く。）,無税,,(無税),,,,,,,,,,,,,,,NO
767,8479.6,0.0,蒸発式空気冷却装置,無税,,(無税),,,,,,,,,,,,,,,NO
768,,,その他の機械類,,,,,,,,,,,,,,,,,,
769,8479.81,0.0,金属の処理用のもの（電線の巻線機を含む。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
770,8479.82,0.0,混合用、捏和用、破砕用、粉砕用、ふるい分け用、均質化用、乳化用又はかくはん用の機械,無税,,(無税),,,,,,,,,,,,,,NO,KG
771,8479.89,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
772,8479.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
773,84.8,,金属鋳造用鋳型枠、鋳型ベース、鋳造用パターン及び金属、金属炭化物、ガラス、鉱物性材料、ゴム又はプラスチックの成形用の型（金属インゴット用のものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
774,8480.1,0.0,金属鋳造用鋳型枠,無税,,(無税),,,,,,,,,,,,,,,KG
775,8480.2,0.0,鋳型ベース,無税,,(無税),,,,,,,,,,,,,,,KG
776,8480.3,0.0,鋳造用パターン,無税,,(無税),,,,,,,,,,,,,,,KG
777,,,金属又は金属炭化物の成形用の型,,,,,,,,,,,,,,,,,,
778,8480.41,0.0,射出式又は圧縮式のもの,無税,,(無税),,,,,,,,,,,,,,,KG
779,8480.49,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
780,8480.5,0.0,ガラスの成形用の型,無税,,(無税),,,,,,,,,,,,,,,KG
781,8480.6,0.0,鉱物性材料の成形用の型,無税,,(無税),,,,,,,,,,,,,,,KG
782,,,ゴム又はプラスチックの成形用の型,,,,,,,,,,,,,,,,,,
783,8480.71,0.0,射出式又は圧縮式のもの,無税,,(無税),,,,,,,,,,,,,,,KG
784,8480.79,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
785,84.81,,コック、弁その他これらに類する物品（減圧弁及び温度制御式弁を含むものとし、管、かん胴、タンクその他これらに類する物品用のものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
786,8481.1,0.0,減圧弁,無税,,(無税),,,,,,,,,,,,,,NO,KG
787,8481.2,0.0,油圧伝動装置用又は空気圧伝動装置用の弁,無税,,(無税),,,,,,,,,,,,,,NO,KG
788,8481.3,0.0,逆止弁,無税,,(無税),,,,,,,,,,,,,,NO,KG
789,8481.4,0.0,安全弁及び逃がし弁,無税,,(無税),,,,,,,,,,,,,,NO,KG
790,8481.8,,その他の物品,無税,,(無税),,,,,,,,,,,,,,,
791,,10.0,－ 鉄鋼製のもの,,,,,,,,,,,,,,,,,NO,KG
792,,20.0,－ 銅製のもの,,,,,,,,,,,,,,,,,NO,KG
793,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
794,8481.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
795,84.82,,玉軸受及びころ軸受,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
796,8482.1,0.0,玉軸受,無税,,(無税),,,,,,,,,,,,,,NO,KG
797,8482.2,0.0,円すいころ軸受（コーンと円すいころを組み合わせたものを含む。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
798,8482.3,0.0,球面ころ軸受,無税,,(無税),,,,,,,,,,,,,,NO,KG
799,8482.4,0.0,針状ころ軸受,無税,,(無税),,,,,,,,,,,,,,NO,KG
800,8482.5,0.0,その他の円筒ころ軸受,無税,,(無税),,,,,,,,,,,,,,NO,KG
801,8482.8,0.0,その他のもの（玉軸受ところ軸受を組み合わせたものを含む。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
802,,,部分品,,,,,,,,,,,,,,,,,,
803,8482.91,0.0,玉、針状ころ及びころ,無税,,(無税),,,,,,,,,,,,,,,KG
804,8482.99,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
805,84.83,,ギヤボックスその他の変速機（トルクコンバーターを含む。）、伝動軸（カムシャフト及びクランクシャフトを含む。）、クランク、軸受箱、滑り軸受、歯車、歯車伝動機、ボールスクリュー、ローラースクリュー、はずみ車、プーリー（プーリーブロックを含む。）、クラッチ及び軸継手（自在継手を含む。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
806,8483.1,,伝動軸（カムシャフト及びクランクシャフトを含む。）及びクランク,無税,,,,,,,,,,,,,,,,,
807,,10.0,－ 自動車用のもの,,,(無税),,,,,,,,,,,,,,NO,KG
808,,,－ その他のもの,,,,,,,,,,,,,,,,,,
809,,21.0,－－ クランクシャフト,,,(無税),,,,,,,,,,,,,,NO,KG
810,,29.0,－－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
811,8483.2,,軸受箱（玉軸受又はころ軸受を有するものに限る。）,無税,,,,,,,,,,,,,,,,,
812,,10.0,－ 自動車用のもの,,,(無税),,,,,,,,,,,,,,NO,KG
813,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
814,8483.3,,軸受箱（玉軸受又はころ軸受を有するものを除く。）及び滑り軸受,無税,,,,,,,,,,,,,,,,,
815,,10.0,－ 自動車用のもの,,,(無税),,,,,,,,,,,,,,NO,KG
816,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
817,8483.4,,歯車及び歯車伝動機（単独で提示する歯付きホイール、チェーンスプロケットその他の伝動装置の構成部品を除く。）、ボールスクリュー、ローラースクリュー並びにギヤボックスその他の変速機（トルクコンバーターを含む。）,無税,,,,,,,,,,,,,,,,,
818,,10.0,"－ 船舶用の減速機（原動機により駆動される軸が1分間につき10,000回以上回転することができるものを除く。）及び逆転機並びに無段変速機",,,(無税),,,,,,,,,,,,,,NO,KG
819,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
820,8483.5,,はずみ車及びプーリー（プーリーブロックを含む。）,無税,,(無税),,,,,,,,,,,,,,,
821,,10.0,－ 自動車用のもの,,,,,,,,,,,,,,,,,NO,KG
822,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
823,8483.6,0.0,クラッチ及び軸継手（自在継手を含む。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
824,8483.9,,単独で提示する歯付きホイール、チェーンスプロケットその他の伝動装置の構成部品及び部分品,無税,,,,,,,,,,,,,,,,,
825,,10.0,－ 自動車用のもの,,,(無税),,,,,,,,,,,,,,,KG
826,,20.0,"－ 船舶用の減速機（原動機により駆動される軸が1分間につき10,000回以上回転することができるものに限る。）のもの",,,(無税),,,,,,,,,,,,,,,KG
827,,,－ その他のもの,,,,,,,,,,,,,,,,,,
828,,31.0,－－ 無段変速機、クランクシャフト、はずみ車又はプーリー（プーリーブロックを含む。）のもの,,,(無税),,,,,,,,,,,,,,,KG
829,,39.0,－－ その他のもの,,,(無税),,,,,,,,,,,,,,,KG
830,84.84,,ガスケットその他これに類するジョイント（他の材料と結合した金属板製のもの及び二層以上の金属から成るものに限る。）、材質の異なるガスケットその他これに類するジョイントをセットにし又は取りそろえて小袋入りその他これに類する包装にしたもの及びメカニカルシール,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
831,8484.1,0.0,ガスケットその他これに類するジョイント（他の材料と結合した金属板製のもの及び二層以上の金属から成るものに限る。）,無税,,(無税),,,,,,,,,,,,,,,KG
832,8484.2,0.0,メカニカルシール,無税,,(無税),,,,,,,,,,,,,,,KG
833,8484.9,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
834,84.86,,半導体ボール、半導体ウエハー、半導体デバイス、集積回路又はフラットパネルディスプレイの製造に専ら又は主として使用する機器、第84類の注9(C)の機器並びに部分品及び附属品,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
835,8486.1,0.0,半導体ボール又は半導体ウエハー製造用の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
836,8486.2,0.0,半導体デバイス又は集積回路製造用の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
837,8486.3,0.0,フラットパネルディスプレイ製造用の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
838,8486.4,0.0,第84類の注9(C)の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
839,8486.9,0.0,部分品及び附属品,無税,,(無税),,,,,,,,,,,,,,,KG
840,84.87,,機械類の部分品（接続子、絶縁体、コイル、接触子その他の電気用物品を有するもの及びこの類の他の項に該当するものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
841,8487.1,0.0,船舶のプロペラ及びその羽根,無税,,(無税),,,,,,,,,,,,,,NO,KG
842,8487.9,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
0,85.01,,電動機及び発電機（原動機とセットにした発電機を除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
1,8501.1,,電動機（出力が37.5ワット以下のものに限る。）,無税,,(無税),,,,,,,,,,,,,,,
2,,,－ 直流電動機,,,,,,,,,,,,,,,,,,
3,,11.0,－－ 出力が10ワット以下のもの,,,,,,,,,,,,,,,,,NO,KG
4,,19.0,－－ 出力が10ワットを超え37.5ワット以下のもの,,,,,,,,,,,,,,,,,NO,KG
5,,20.0,－ 単相交流電動機,,,,,,,,,,,,,,,,,NO,KG
6,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
7,8501.2,0.0,交直両用電動機（出力が37.5ワットを超えるものに限る。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
8,,,その他の直流電動機及び直流発電機,,,,,,,,,,,,,,,,,,
9,8501.31,0.0,出力が750ワット以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
10,8501.32,0.0,出力が750ワットを超え75キロワット以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
11,8501.33,0.0,出力が75キロワットを超え375キロワット以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
12,8501.34,0.0,出力が375キロワットを超えるもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
13,8501.4,0.0,その他の単相交流電動機,無税,,(無税),,,,,,,,,,,,,,NO,KG
14,,,その他の多相交流電動機,,,,,,,,,,,,,,,,,,
15,8501.51,0.0,出力が750ワット以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
16,8501.52,0.0,出力が750ワットを超え75キロワット以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
17,8501.53,0.0,出力が75キロワットを超えるもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
18,,,交流発電機,,,,,,,,,,,,,,,,,,
19,8501.61,0.0,出力が75キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
20,8501.62,0.0,出力が75キロボルトアンペアを超え375キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
21,8501.63,0.0,出力が375キロボルトアンペアを超え750キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
22,8501.64,0.0,出力が750キロボルトアンペアを超えるもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
23,85.02,,発電機（原動機とセットにしたものに限る。）及びロータリーコンバーター,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
24,,,発電機（ピストン式圧縮点火内燃機関（ディーゼルエンジン及びセミディーゼルエンジン）とセットにしたものに限る。）,,,,,,,,,,,,,,,,,,
25,8502.11,0.0,出力が75キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
26,8502.12,0.0,出力が75キロボルトアンペアを超え375キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
27,8502.13,0.0,出力が375キロボルトアンペアを超えるもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
28,8502.2,0.0,発電機（ピストン式火花点火内燃機関とセットにしたものに限る。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
29,,,発電機（その他の原動機とセットにしたものに限る。）,,,,,,,,,,,,,,,,,,
30,8502.31,0.0,風力式のもの,無税,,(無税),,,,,,,,,,,,,,,NO
31,8502.39,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,NO
32,8502.4,0.0,ロータリーコンバーター,無税,,(無税),,,,,,,,,,,,,,NO,KG
33,85.03,,,,,,,,,,,,,,,,,,,,
34,8503.0,0.0,第85.01項又は第85.02項の機械に専ら又は主として使用する部分品,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
35,85.04,,トランスフォーマー、スタティックコンバーター（例えば、整流器）及びインダクター,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
36,8504.1,0.0,放電管用安定器,無税,,(無税),,,,,,,,,,,,,,NO,KG
37,,,トランスフォーマー（絶縁性の液体を使用するものに限る。）,,,,,,,,,,,,,,,,,,
38,8504.21,,容量が650キロボルトアンペア以下のもの,無税,,,,,,,,,,,,,,,,,
39,,10.0,－ 容量が100キロボルトアンペア以下のもの,,,(無税),,,,,,,,,,,,,,NO,KG
40,,20.0,－ 容量が100キロボルトアンペアを超え200キロボルトアンペア未満のもの,,,(無税),,,,,,,,,,,,,,NO,KG
41,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
42,8504.22,0.0,"容量が650キロボルトアンペアを超え10,000キロボルトアンペア以下のもの",無税,,(無税),,,,,,,,,,,,,,NO,KG
43,8504.23,0.0,"容量が10,000キロボルトアンペアを超えるもの",無税,,(無税),,,,,,,,,,,,,,NO,KG
44,,,その他のトランスフォーマー,,,,,,,,,,,,,,,,,,
45,8504.31,0.0,容量が1キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
46,8504.32,0.0,容量が1キロボルトアンペアを超え16キロボルトアンペア以下のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
47,8504.33,,容量が16キロボルトアンペアを超え500キロボルトアンペア以下のもの,無税,,,,,,,,,,,,,,,,,
48,,10.0,－ 容量が50キロボルトアンペア以下のもの,,,(無税),,,,,,,,,,,,,,NO,KG
49,,20.0,－ 容量が50キロボルトアンペアを超え200キロボルトアンペア未満のもの,,,(無税),,,,,,,,,,,,,,NO,KG
50,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
51,8504.34,0.0,容量が500キロボルトアンペアを超えるもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
52,8504.4,,スタティックコンバーター,無税,,,,,,,,,,,,,,,,,
53,,,－ 整流機器,,,(無税),,,,,,,,,,,,,,,
54,,11.0,－－ シリコン整流機器,,,,,,,,,,,,,,,,,NO,KG
55,,19.0,－－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
56,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
57,8504.5,0.0,その他のインダクター,無税,,(無税),,,,,,,,,,,,,,NO,KG
58,8504.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
59,85.05,,電磁石、永久磁石、永久磁石用の物品で磁化してないもの並びに電磁式又は永久磁石式のチャック、クランプその他これらに類する保持具並びに電磁式のカップリング、クラッチ、ブレーキ及びリフティングヘッド,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
60,,,永久磁石及び永久磁石用の物品で磁化してないもの,,,,,,,,,,,,,,,,,,
61,8505.11,0.0,金属製のもの,無税,,(無税),,,,,,,,,,,,,,,KG
62,8505.19,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
63,8505.2,0.0,電磁式のカップリング、クラッチ及びブレーキ,無税,,(無税),,,,,,,,,,,,,,NO,KG
64,8505.9,,その他のもの（部分品を含む。）,無税,,(無税),,,,,,,,,,,,,,,
65,,10.0,－ 電磁石,,,,,,,,,,,,,,,,,,KG
66,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
67,85.06,,一次電池,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
68,8506.1,,二酸化マンガンを使用したもの,無税,,(無税),,,,,,,,,,,,,,,
69,,10.0,－ アルカリマンガン電池,,,,,,,,,,,,,,,,,,NO
70,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,NO
71,8506.3,0.0,酸化水銀を使用したもの,無税,,(無税),,,,,,,,,,,,,,,NO
72,8506.4,0.0,酸化銀を使用したもの,無税,,(無税),,,,,,,,,,,,,,,NO
73,8506.5,0.0,リチウムを使用したもの,無税,,(無税),,,,,,,,,,,,,,,NO
74,8506.6,0.0,空気・亜鉛電池,無税,,(無税),,,,,,,,,,,,,,,NO
75,8506.8,0.0,その他の一次電池,無税,,(無税),,,,,,,,,,,,,,,NO
76,8506.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
77,85.07,,蓄電池（隔離板を含むものとし、長方形（正方形を含む。）であるかないかを問わない。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
78,8507.1,,ピストンエンジンの始動に使用する種類の鉛蓄電池,無税,,,,,,,,,,,,,,,,,
79,,10.0,－ 公称電圧が6ボルト又は12ボルトのもの,,,(無税),,,,,,,,,,,,,,NO,KG
80,,20.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
81,8507.2,,その他の鉛蓄電池,無税,,,,,,,,,,,,,,,,,
82,,10.0,－ 公称電圧が6ボルト又は12ボルトのもの,,,(無税),,,,,,,,,,,,,,NO,KG
83,,20.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
84,8507.3,0.0,ニッケル・カドミウム蓄電池,無税,,(無税),,,,,,,,,,,,,,NO,KG
85,8507.4,0.0,ニッケル・鉄蓄電池,無税,,(無税),,,,,,,,,,,,,,NO,KG
86,8507.8,0.0,その他の蓄電池,無税,,(無税),,,,,,,,,,,,,,NO,KG
87,8507.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
88,85.08,,真空式掃除機,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
89,,,電動装置を自蔵するもの,,,,,,,,,,,,,,,,,,
90,8508.11,,"出力が1,500ワット以下のもの（ダストバッグ又はその他の容器（20リットル以下のもの）を有するものに限る。）",無税,,(無税),,,,,,,,,,,,,,,
91,,10.0,－ 電池内蔵式のもの,,,,,,,,,,,,,,,,,NO,KG
92,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
93,8508.19,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,
94,,10.0,－ 電池内蔵式のもの,,,,,,,,,,,,,,,,,NO,KG
95,,90.0,－その他のもの,,,,,,,,,,,,,,,,,NO,KG
96,8508.6,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
97,8508.7,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
98,85.09,,家庭用電気機器（電動装置を自蔵するものに限るものとし、第85.08項の真空式掃除機を除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
99,8509.4,0.0,食物用グラインダー、食物用ミキサー及び果汁又は野菜ジュースの搾り機,無税,,(無税),,,,,,,,,,,,,,NO,KG
100,8509.8,0.0,その他の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
101,8509.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
102,85.1,,かみそり、バリカン及び脱毛器（電動装置を自蔵するものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
103,8510.1,0.0,かみそり,無税,,(無税),,,,,,,,,,,,,,NO,KG
104,8510.2,0.0,バリカン,無税,,(無税),,,,,,,,,,,,,,NO,KG
105,8510.3,0.0,脱毛器,無税,,(無税),,,,,,,,,,,,,,,NO
106,8510.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
107,85.11,,火花点火式又は圧縮点火式の内燃機関の点火又は始動に使用する種類の電気機器（例えば、点火用磁石発電機、直流磁石発電機、イグニションコイル、点火プラグ、予熱プラグ及びスターター）並びにこれらの内燃機関に使用する種類の発電機（例えば、直流発電機及び交流発電機）及び開閉器,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
108,8511.1,,点火プラグ,無税,,(無税),,,,,,,,,,,,,,,
109,,10.0,－ 自動車用のもの,,,,,,,,,,,,,,,,,NO,KG
110,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
111,8511.2,0.0,点火用磁石発電機、直流磁石発電機及びはずみ車式磁石発電機,無税,,(無税),,,,,,,,,,,,,,NO,KG
112,8511.3,0.0,ディストリビューター及びイグニションコイル,無税,,(無税),,,,,,,,,,,,,,NO,KG
113,8511.4,0.0,スターター及び始動充電発電機,無税,,(無税),,,,,,,,,,,,,,NO,KG
114,8511.5,0.0,その他の発電機,無税,,(無税),,,,,,,,,,,,,,NO,KG
115,8511.8,0.0,その他の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
116,8511.9,,部分品,無税,,(無税),,,,,,,,,,,,,,,
117,,10.0,－ 発電機又はスターターのもの,,,,,,,,,,,,,,,,,,KG
118,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
119,85.12,,電気式の照明用又は信号用の機器（第85.39項の物品を除く。）、ウインドスクリーンワイパー及び曇り除去装置（自転車又は自動車に使用する種類のものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
120,8512.1,0.0,照明用又は可視信号用の機器（自転車に使用する種類のものに限る。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
121,8512.2,0.0,その他の照明用又は可視信号用の機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
122,8512.3,0.0,音響信号機器,無税,,(無税),,,,,,,,,,,,,,NO,KG
123,8512.4,0.0,ウインドスクリーンワイパー及び曇り除去装置,無税,,(無税),,,,,,,,,,,,,,NO,KG
124,8512.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
125,85.13,,携帯用電気ランプ（内蔵したエネルギー源（例えば、電池及び磁石発電機）により機能するように設計したものに限るものとし、第85.12項の照明用機器を除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
126,8513.1,0.0,ランプ,無税,,(無税),,,,,,,,,,,,,,NO,KG
127,8513.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
128,85.14,,工業用又は理化学用の電気炉（電磁誘導又は誘電損失により機能するものを含む。）及び工業用又は理化学用のその他の機器（電磁誘導又は誘電損失により物質を加熱処理するものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
129,8514.1,0.0,抵抗加熱炉,無税,,(無税),,,,,,,,,,,,,,NO,KG
130,8514.2,0.0,電磁誘導又は誘電損失により機能する炉,無税,,(無税),,,,,,,,,,,,,,NO,KG
131,8514.3,0.0,その他の炉,無税,,(無税),,,,,,,,,,,,,,NO,KG
132,8514.4,0.0,その他の機器（電磁誘導又は誘電損失により物質を加熱処理するものに限る。）,無税,,(無税),,,,,,,,,,,,,,NO,KG
133,8514.9,0.0,部分品,無税,,(無税),,,,,,,,,,,,,,,KG
134,85.15,,はんだ付け用、ろう付け用又は溶接用の機器（電気式（電気加熱ガス式を含む。）、レーザーその他の光子ビーム式、超音波式、電子ビーム式、磁気パルス式又はプラズマアーク式のものに限るものとし、切断に使用することができるかできないかを問わない。）及び金属又はサーメットの熱吹付け用電気機器,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
135,,,ろう付け用又ははんだ付け用の機器,,,,,,,,,,,,,,,,,,
136,8515.11,0.0,はんだごて及びはんだ付けガン,無税,,(無税),,,,,,,,,,,,,,NO,KG
137,8515.19,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
138,,,金属用抵抗溶接機器,,,,,,,,,,,,,,,,,,
139,8515.21,0.0,全自動式又は半自動式のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
140,8515.29,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
141,,,アーク溶接機器（プラズマアーク溶接機器を含むものとし、金属用のものに限る。）,,,,,,,,,,,,,,,,,,
142,8515.31,0.0,全自動式又は半自動式のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
143,8515.39,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,NO,KG
144,8515.8,,その他の機器,無税,,,,,,,,,,,,,,,,,
145,,10.0,－ 超音波式のもの,,,(無税),,,,,,,,,,,,,,NO,KG
146,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,NO,KG
147,8515.9,,部分品,無税,,,,,,,,,,,,,,,,,
148,,10.0,－ 超音波式機器のもの,,,(無税),,,,,,,,,,,,,,,KG
149,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,KG
