,Unnamed: 0,統計番号Statistical code,統計番号Statistical code.1,品名Description,関税率Tariff rate,関税率Tariff rate.1,関税率Tariff rate.2,関税率Tariff rate.3,関税率Tariff rate.4,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA).1,関税率（経済連携協定）Tariff rate (EPA).2,関税率（経済連携協定）Tariff rate (EPA).3,関税率（経済連携協定）Tariff rate (EPA).4,関税率（経済連携協定）Tariff rate (EPA).5,関税率（経済連携協定）Tariff rate (EPA).6,関税率（経済連携協定）Tariff rate (EPA).7,関税率（経済連携協定）Tariff rate (EPA).8,関税率（経済連携協定）Tariff rate (EPA).9,関税率（経済連携協定）Tariff rate (EPA).10,関税率（経済連携協定）Tariff rate (EPA).11,関税率（経済連携協定）Tariff rate (EPA).12,関税率（経済連携協定）Tariff rate (EPA).13,関税率（経済連携協定）Tariff rate (EPA).14,関税率（経済連携協定）Tariff rate (EPA).15,関税率（経済連携協定）Tariff rate (EPA).16,関税率（経済連携協定）Tariff rate (EPA).17,関税率（経済連携協定）Tariff rate (EPA).18,関税率（経済連携協定）Tariff rate (EPA).19,関税率（経済連携協定）Tariff rate (EPA).20,関税率Tariff rate.5,単位Unit,単位Unit.1,他法令Law,関税率（経済連携協定）Tariff rate (EPA).21,関税率（経済連携協定）Tariff rate (EPA).22,関税率（経済連携協定）Tariff rate (EPA).23
8602,435.0,,110.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,,,,
24085,435.0,,110.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,,,,
19109,435.0,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,1.9%又は1.44円/kgのうちいずれか高い税率,,無税,1.9%又は1.44円/kgのうちいずれか高い税率,1.9%又は1.44円/kgのうちいずれか高い税率,3.7%又は2.88円/kgのうちいずれか高い税率,3.7%又は2.88円/kgのうちいずれか高い税率,9.3%又は7.19円/kgのうちいずれか高い税率（ただしその税率が50%を上回る場合は50%とする）,3.7%又は2.88円/kgのうちいずれか高い税率,5.6%又は4.31円/kgのうちいずれか高い税率,5.6%又は4.31円/kgのうちいずれか高い税率,9.3%又は7.19円/kgのうちいずれか高い税率,9.3%又は7.19円/kgのうちいずれか高い税率,8.1%又は6.27円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.9%又は14.64円/kgのうちいずれか高い税率,19%又は14.64円/kgのうちいずれか高い税率,19%又は14.64円/kgのうちいずれか高い税率,27.9%又は21.56円/kgのうちいずれか高い税率,27.9%又は21.56円/kgのうちいずれか高い税率,27.9%又は21.56円/kgのうちいずれか高い税率,,L,KG,FD,,,
3626,435.0,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,無税,,無税,無税,無税,1.9%又は1.44円/kgのうちいずれか高い税率,1.9%又は1.44円/kgのうちいずれか高い税率,9.3%又は7.19円/kgのうちいずれか高い税率（ただしその税率が50%を上回る場合は50%とする）,1.9%又は1.44円/kgのうちいずれか高い税率,3.7%又は2.88円/kgのうちいずれか高い税率,3.7%又は2.88円/kgのうちいずれか高い税率,7.5%又は5.75円/kgのうちいずれか高い税率,7.5%又は5.75円/kgのうちいずれか高い税率,5.4%又は4.18円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,16.2%又は12.55円/kgのうちいずれか高い税率,16.3%又は12.55円/kgのうちいずれか高い税率,16.3%又は12.55円/kgのうちいずれか高い税率,26.1%又は20.13円/kgのうちいずれか高い税率,26.1%又は20.13円/kgのうちいずれか高い税率,26.1%又は20.13円/kgのうちいずれか高い税率,,L,KG,FD,,,
7572,436.0,4416.0,0.0,木製のたる、おけその他これらに類する容器及び木製のこれらの部分品（たる材及びおけ材を含む。）,2.6%,,2.2%,1.32%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.8%,0.8%,無税,,無税,,,KG,FD,,,
23055,436.0,4416.0,0.0,木製のたる、おけその他これらに類する容器及び木製のこれらの部分品（たる材及びおけ材を含む。）,2.6%,,2.2%,1.32%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,1.1%,無税,,無税,,,KG,FD,,,
8603,436.0,,190.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,,,,
24086,436.0,,190.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,,,,
19111,437.0,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,1.2%,無税,無税,無税,1.2%,2.4%,2.4%,6%,2.4%,3.6%,3.6%,6%,6%,無税,11.9%,無税,無税,無税,17.9%,17.9%,,無税,L,KG,FD,,,
3628,437.0,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,無税,無税,無税,無税,無税,1.2%,1.2%,6%,1.2%,2.4%,2.4%,4.8%,4.8%,無税,10.7%,無税,無税,無税,16.7%,16.7%,,無税,L,KG,FD,,,
8605,438.0,,210.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,無税,,SM,KG,,,,
24088,438.0,,210.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.1%,無税,,SM,KG,,,,
19112,438.0,,290.0,(2)その他のもの,30%,,25.5%,,無税,1.6%,,無税,無税,1.6%,3.2%,3.2%,8%,3.2%,4.8%,4.8%,8%,8%,7%,15.9%,16.2%,16.2%,16.2%,23.9%,23.9%,23.9%,16.2%,L,KG,FD,,,
3629,438.0,,290.0,(2)その他のもの,30%,,25.5%,,無税,無税,,無税,無税,無税,1.6%,1.6%,8%,1.6%,3.2%,3.2%,6.4%,6.4%,4.6%,14.3%,13.9%,13.9%,13.9%,22.3%,22.3%,22.3%,13.9%,L,KG,FD,,,
716,439.0,,10.0,－ たらばがに,,,,,,,無税,,,無税,,,4%,無税,,無税,無税,無税,無税,1.5%,無税,無税,無税,3.5%,3.5%,,,,KG,ILJKFRIAFD,,,
16199,439.0,,10.0,－ たらばがに,,,,,,,無税,,,無税,,,4%,無税,,無税,無税,無税,無税,1.8%,無税,無税,無税,3.8%,3.8%,,,,KG,ILJKFRIAFD,,,
8606,439.0,,290.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,無税,,SM,KG,,,,
24089,439.0,,290.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.1%,無税,,SM,KG,,,,
5284,440.0,2920.29,0.0,その他のもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,,,KG,PDEXCRFD,,,
20767,440.0,2920.29,0.0,その他のもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,PDEXCRFD,,,
5285,441.0,2920.3,0.0,エンドスルファン（ISO）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,,,KG,PDEXCRFD,,,
20768,441.0,2920.3,0.0,エンドスルファン（ISO）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,PDEXCRFD,,,
718,441.0,,30.0,－ がざみ,,,,,,無税,無税,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,1.5%,無税,無税,無税,3.5%,3.5%,,,,KG,ILJKFRIAFD,,,
16201,441.0,,30.0,－ がざみ,,,,,,無税,無税,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,1.8%,無税,無税,無税,3.8%,3.8%,,,,KG,ILJKFRIAFD,,,
8608,441.0,,910.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3%又は2.4%＋0.83円/㎡のうちいずれか高い税率,無税,,SM,KG,,,,
24091,441.0,,910.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.4%又は2.6%＋0.92円/㎡のうちいずれか高い税率,無税,,SM,KG,,,,
19116,442.0,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,1.4%,,無税,,1.4%,,,7.2%,2.9%,4.3%,4.3%,,,関税割当数量以内のもの　3.5%,,14.6%,14.6%,14.6%,21.6%,21.6%,,,L,KG,FD,,,
3633,442.0,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,無税,,無税,,無税,,,7.2%,1.4%,2.9%,2.9%,,,関税割当数量以内のもの　2.3%,,12.5%,12.5%,12.5%,20.1%,20.1%,,,L,KG,FD,,,
719,442.0,,40.0,－ けがに,,,,,,,無税,,,,,,4%,無税,,,無税,無税,無税,1.5%,無税,無税,無税,3.5%,3.5%,3.5%,,,KG,ILJKFRIAFD,,,
16202,442.0,,40.0,－ けがに,,,,,,,無税,,,,,,4%,無税,,,無税,無税,無税,1.8%,無税,無税,無税,3.8%,3.8%,3.8%,,,KG,ILJKFRIAFD,,,
8609,442.0,,990.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3%又は2.4%＋0.83円/㎡のうちいずれか高い税率,無税,,SM,KG,,,,
24092,442.0,,990.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.4%又は2.6%＋0.92円/㎡のうちいずれか高い税率,無税,,SM,KG,,,,
19117,443.0,,190.0,(2)その他のもの,40%又は27円/kgのうちいずれか高い税率,,34%又は23円/kgのうちいずれか高い税率,,無税,2.1%又は1.44円/kgのうちいずれか高い税率,,無税,,2.1%又は1.44円/kgのうちいずれか高い税率,,,,4.3%又は2.88円/kgのうちいずれか高い税率,6.4%又は4.31円/kgのうちいずれか高い税率,6.4%又は4.31円/kgのうちいずれか高い税率,,,関税割当数量以内のもの　5.1%又は3.45円/kgのうちいずれか高い税率,,21.6%又は14.64円/kgのうちいずれか高い税率,21.6%又は14.64円/kgのうちいずれか高い税率,21.6%又は14.64円/kgのうちいずれか高い税率,31.9%又は21.56円/kgのうちいずれか高い税率,31.9%又は21.56円/kgのうちいずれか高い税率,,,L,KG,FD,,,
3634,443.0,,190.0,(2)その他のもの,40%又は27円/kgのうちいずれか高い税率,,34%又は23円/kgのうちいずれか高い税率,,無税,無税,,無税,,無税,,,,2.1%又は1.44円/kgのうちいずれか高い税率,4.3%又は2.88円/kgのうちいずれか高い税率,4.3%又は2.88円/kgのうちいずれか高い税率,,,関税割当数量以内のもの　3.4%又は2.3円/kgのうちいずれか高い税率,,18.5%又は12.55円/kgのうちいずれか高い税率,18.5%又は12.55円/kgのうちいずれか高い税率,18.5%又は12.55円/kgのうちいずれか高い税率,29.8%又は20.13円/kgのうちいずれか高い税率,29.8%又は20.13円/kgのうちいずれか高い税率,,,L,KG,FD,,,
720,443.0,,90.0,－ その他のもの,,,,,,無税,無税,無税,,無税,,無税,無税,無税,,無税,無税,無税,無税,1.5%,無税,無税,無税,3.3%,3.3%,3.3%,,,KG,ILJKFRIAFD,,,
16203,443.0,,90.0,－ その他のもの,,,,,,無税,無税,無税,,無税,,無税,無税,無税,,無税,無税,無税,無税,1.8%,無税,無税,無税,3.6%,3.6%,3.6%,,,KG,ILJKFRIAFD,,,
20771,444.0,,11.0,(1) 炭酸ビニレン、炭酸フルオロエチレン、炭酸エチルメチル、炭酸プロピレン及び炭酸ジエチル,無税,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,,,,
5288,444.0,,11.0,(1) 炭酸ビニレン、炭酸フルオロエチレン、炭酸エチルメチル、炭酸プロピレン及び炭酸ジエチル,無税,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,（3.2%）,（3.2%）,,,KG,,,,
9705,444.0,,99.0,(2)その他のもの,4.8%,,4.3%,3.44%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,無税,,SM,KG,,,,
25188,444.0,,99.0,(2)その他のもの,4.8%,,4.3%,3.44%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.9%,無税,,SM,KG,,,,
8612,445.0,,10.0,1 経緯糸のうちいずれか一方が亜麻、ラミー、合成繊維又はアセテート繊維のもの,11.2%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,,,,
24095,445.0,,10.0,1 経緯糸のうちいずれか一方が亜麻、ラミー、合成繊維又はアセテート繊維のもの,11.2%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,,,,
5289,445.0,,19.0,(2) その他のもの,4.6%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,,,KG,,,,
20772,445.0,,19.0,(2) その他のもの,4.6%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,,,,
19119,445.0,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,1.2%,,無税,,1.2%,,,6%,2.4%,3.6%,3.6%,,,関税割当数量以内のもの　2.9%,,12.1%,12.2%,12.2%,,,,12.1%,L,KG,FD,,,
3636,445.0,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,無税,,無税,,無税,,,6%,1.2%,2.4%,2.4%,,,関税割当数量以内のもの　1.9%,,10.4%,10.4%,10.4%,,,,10.4%,L,KG,FD,,,
8613,446.0,,20.0,2 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの（経緯糸のうちいずれか一方が亜麻、ラミー、合成繊維又はアセテート繊維のものを除く。）,8.4%,,5.6%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,無税,,SM,KG,,,,
24096,446.0,,20.0,2 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの（経緯糸のうちいずれか一方が亜麻、ラミー、合成繊維又はアセテート繊維のものを除く。）,8.4%,,5.6%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.1%,無税,,SM,KG,,,,
19120,446.0,,290.0,(2)その他のもの,35%,,29.8%,,無税,1.9%,,無税,,1.9%,,,9.3%,3.7%,5.6%,5.6%,,,関税割当数量以内のもの　4.5%,,18.9%,19%,19%,,,,18.9%,L,KG,FD,,,
3637,446.0,,290.0,(2)その他のもの,35%,,29.8%,,無税,無税,,無税,,無税,,,9.3%,1.9%,3.7%,3.7%,,,関税割当数量以内のもの　3%,,16.2%,16.3%,16.3%,,,,16.2%,L,KG,FD,,,
5290,446.0,,90.0,2 その他のもの,4.6%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,,,KG,PDEXCRFD,,,
20773,446.0,,90.0,2 その他のもの,4.6%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,PDEXCRFD,,,
8614,447.0,,30.0,3 その他のもの,5.6%又は4.4%＋1.52円/㎡のうちいずれか高い税率,,3.7%又は2.9%＋1.01円/㎡のうちいずれか高い税率,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3%又は2.4%＋0.83円/㎡のうちいずれか高い税率,無税,,SM,KG,,,,
24097,447.0,,30.0,3 その他のもの,5.6%又は4.4%＋1.52円/㎡のうちいずれか高い税率,,3.7%又は2.9%＋1.01円/㎡のうちいずれか高い税率,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.4%又は2.6%＋0.92円/㎡のうちいずれか高い税率,無税,,SM,KG,,,,
7584,448.0,4418.3,0.0,くい及びはり（第4418.81号から第4418.89号までの物品を除く。）,3.9%,,(3.9%),2.34%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.5%,1.5%,3.4%,,,,CM,KG,CR,,,
23067,448.0,4418.3,0.0,くい及びはり（第4418.81号から第4418.89号までの物品を除く。）,3.9%,,(3.9%),2.34%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2%,2%,3.7%,,,,CM,KG,CR,,,
19123,449.0,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,1.4%,,無税,,1.4%,,,7.2%,2.9%,4.3%,4.3%,,,関税割当数量以内のもの　3.5%,,14.6%,14.6%,14.6%,,,,,L,KG,FD,,,
3640,449.0,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,無税,,無税,,無税,,,7.2%,1.4%,2.9%,2.9%,,,関税割当数量以内のもの　2.3%,,12.5%,12.5%,12.5%,,,,,L,KG,FD,,,
726,449.0,,200.0,2 その他のもの,10%,,7%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,無税,無税,無税,6.1%,6.1%,,,,KG,ILFRIAFD,,,
16209,449.0,,200.0,2 その他のもの,10%,,7%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,無税,無税,無税,6.6%,6.6%,,,,KG,ILFRIAFD,,,
8617,450.0,,110.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,,,,
24100,450.0,,110.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,,,,
19124,450.0,,190.0,(2)その他のもの,40%又は27円/kgのうちいずれか高い税率,,34%又は23円/kgのうちいずれか高い税率,,無税,2.1%又は1.44円/kgのうちいずれか高い税率,,無税,,2.1%又は1.44円/kgのうちいずれか高い税率,,,,4.3%又は2.88円/kgのうちいずれか高い税率,6.4%又は4.31円/kgのうちいずれか高い税率,6.4%又は4.31円/kgのうちいずれか高い税率,,,関税割当数量以内のもの　5.1%又は3.45円/kgのうちいずれか高い税率,,21.6%又は14.64円/kgのうちいずれか高い税率,21.6%又は14.64円/kgのうちいずれか高い税率,21.6%又は14.64円/kgのうちいずれか高い税率,,,,,L,KG,FD,,,
3641,450.0,,190.0,(2)その他のもの,40%又は27円/kgのうちいずれか高い税率,,34%又は23円/kgのうちいずれか高い税率,,無税,無税,,無税,,無税,,,,2.1%又は1.44円/kgのうちいずれか高い税率,4.3%又は2.88円/kgのうちいずれか高い税率,4.3%又は2.88円/kgのうちいずれか高い税率,,,関税割当数量以内のもの　3.4%又は2.3円/kgのうちいずれか高い税率,,18.5%又は12.55円/kgのうちいずれか高い税率,18.5%又は12.55円/kgのうちいずれか高い税率,18.5%又は12.55円/kgのうちいずれか高い税率,,,,,L,KG,FD,,,
5295,451.0,2921.12,0.0,"2-(N,N-ジメチルアミノ)エチルクロリド塩酸塩",4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,PDADNAPAEXCR,,,
20778,451.0,2921.12,0.0,"2-(N,N-ジメチルアミノ)エチルクロリド塩酸塩",4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,PDADNAPAEXCR,,,
8618,451.0,,190.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,,,,
24101,451.0,,190.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,,,,
9712,451.0,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.3%,無税,,SM,KG,,,,
25195,451.0,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.6%,無税,,SM,KG,,,,
5296,452.0,2921.13,0.0,"2-(N,N-ジエチルアミノ)エチルクロリド塩酸塩",4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,PDADNAPAEXCR,,,
20779,452.0,2921.13,0.0,"2-(N,N-ジエチルアミノ)エチルクロリド塩酸塩",4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,PDADNAPAEXCR,,,
7588,452.0,4418.73,0.0,竹製のもの及び少なくとも最上層（摩耗層）が竹製のもの,3.9%,,2%,1.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,●無税～1.8%,●無税又は非譲許,●無税又は非譲許,,,KG,CR,,,
23071,452.0,4418.73,0.0,竹製のもの及び少なくとも最上層（摩耗層）が竹製のもの,3.9%,,2%,1.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,●無税～1.9%,●無税又は非譲許,●無税又は非譲許,,,KG,CR,,,
19126,452.0,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,1.2%,,無税,,1.2%,,,6%,2.4%,3.6%,3.6%,,,関税割当数量以内のもの　2.9%,,9.5%,9.6%,9.6%,,,,9.5%,L,KG,FD,,,
3643,452.0,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,無税,,無税,,無税,,,6%,1.2%,2.4%,2.4%,,,関税割当数量以内のもの　1.9%,,7.1%,7.2%,7.2%,,,,7.1%,L,KG,FD,,,
5297,453.0,2921.14,0.0,"2-(N,N-ジイソプロピルアミノ)エチルクロリド塩酸塩",4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,PDADNAPAEXCR,,,
20780,453.0,2921.14,0.0,"2-(N,N-ジイソプロピルアミノ)エチルクロリド塩酸塩",4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,PDADNAPAEXCR,,,
8620,453.0,,210.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,無税,,SM,KG,,,,
24103,453.0,,210.0,－ 3枚綾織り又は4枚綾織り（破れ斜文織りを含む。）のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.1%,無税,,SM,KG,,,,
19127,453.0,,290.0,(2)その他のもの,35%,,29.8%,,無税,1.9%,,無税,,1.9%,,,9.3%,3.7%,5.6%,5.6%,,,関税割当数量以内のもの　4.5%,,14.9%,14.9%,14.9%,,,,,L,KG,FD,,,
3644,453.0,,290.0,(2)その他のもの,35%,,29.8%,,無税,無税,,無税,,無税,,,9.3%,1.9%,3.7%,3.7%,,,関税割当数量以内のもの　3%,,11.1%,11.2%,11.2%,,,,,L,KG,FD,,,
5298,454.0,2921.19,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,PDADNAPAEXCR,,,
20781,454.0,2921.19,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,PDADNAPAEXCR,,,
7590,454.0,4418.75,0.0,その他のもの（多層のものに限る。）,3.9%,,2%,1.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.8%,,,,,KG,CR,,,
23073,454.0,4418.75,0.0,その他のもの（多層のものに限る。）,3.9%,,2%,1.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.9%,,,,,KG,CR,,,
731,454.0,,110.0,－ たらばがに,,,,,,,無税,,,無税,,,4%,無税,,,無税,無税,無税,1.5%,無税,無税,無税,3.5%,3.5%,3.5%,,,KG,ILTKFRIAFD,,,
16214,454.0,,110.0,－ たらばがに,,,,,,,無税,,,無税,,,4%,無税,,,無税,無税,無税,1.8%,無税,無税,無税,3.8%,3.8%,3.8%,,,KG,ILTKFRIAFD,,,
8621,454.0,,290.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,無税,,SM,KG,,,,
